date,price,volume,bid,ask,mid,imbalance,spread_chf,spread_pct,weighted_mid,micro_price,g_adj,mm_bid,mm_ask
17.02.2026,9820,80,9800.36,9839.64,9820.0,0.5612,39.28,0.4,9822.41,9822.41,2.41,9792.95,9851.87
18.02.2026,9800,17,9780.4,9819.6,9800.0,0.3176,39.2,0.4,9792.85,9792.85,-7.15,9763.45,9822.25
19.02.2026,9900,55,9880.2,9919.8,9900.0,0.7436,39.6,0.4,9909.65,9909.65,9.65,9879.95,9939.35
20.02.2026,9940,81,9920.12,9959.88,9940.0,0.8,39.76,0.4,9951.93,9951.93,11.93,9922.11,9981.75
23.02.2026,9840,37,9820.32,9859.68,9840.0,0.6216,39.36,0.4,9844.79,9844.79,4.79,9815.27,9874.31
24.02.2026,9880,103,9860.24,9899.76,9880.0,0.4398,39.52,0.4,9877.62,9877.62,-2.38,9847.98,9907.26
25.02.2026,9820,68,9800.36,9839.64,9820.0,0.2,39.28,0.4,9808.22,9808.22,-11.78,9778.76,9837.68
26.02.2026,9840,42,9820.32,9859.68,9840.0,0.5,39.36,0.4,9840.0,9840.0,0.0,9810.48,9869.52
27.02.2026,9860,43,9840.28,9879.72,9860.0,0.4395,39.44,0.4,9857.62,9857.62,-2.38,9828.04,9887.2
02.03.2026,9860,85,9840.28,9879.72,9860.0,0.6224,39.44,0.4,9864.83,9864.83,4.83,9835.25,9894.41
03.03.2026,9840,35,9820.32,9859.68,9840.0,0.5,39.36,0.4,9840.0,9840.0,0.0,9810.48,9869.52
04.03.2026,9940,73,9920.12,9959.88,9940.0,0.7438,39.76,0.4,9949.69,9949.69,9.69,9919.87,9979.51
05.03.2026,9880,16,9860.24,9899.76,9880.0,0.5625,39.52,0.4,9882.47,9882.47,2.47,9852.83,9912.11
06.03.2026,9940,70,9920.12,9959.88,9940.0,0.8,39.76,0.4,9951.93,9951.93,11.93,9922.11,9981.75
09.03.2026,9880,88,9860.24,9899.76,9880.0,0.3193,39.52,0.4,9872.86,9872.86,-7.14,9843.22,9902.5
10.03.2026,9880,31,9860.24,9899.76,9880.0,0.5,39.52,0.4,9880.0,9880.0,0.0,9850.36,9909.64
11.03.2026,9980,78,9960.04,9999.96,9980.0,0.6205,39.92,0.4,9984.81,9984.81,4.81,9954.87,10014.75
12.03.2026,10050,121,10029.9,10070.1,10050.0,0.8,40.2,0.4,10062.06,10062.06,12.06,10031.91,10092.21
13.03.2026,9980,32,9960.04,9999.96,9980.0,0.8,39.92,0.4,9991.98,9991.98,11.98,9962.04,10021.92
16.03.2026,10150,35,10129.7,10170.3,10150.0,0.8,40.6,0.4,10162.18,10162.18,12.18,10131.73,10192.63
17.03.2026,10450,140,10429.1,10470.9,10450.0,0.8,41.8,0.4,10462.54,10462.54,12.54,10431.19,10493.89
18.03.2026,10500,163,10479.0,10521.0,10500.0,0.8,42.0,0.4,10512.6,10512.6,12.6,10481.1,10544.1
19.03.2026,10350,99,10329.3,10370.7,10350.0,0.8,41.4,0.4,10362.42,10362.42,12.42,10331.37,10393.47
20.03.2026,10450,39,10429.1,10470.9,10450.0,0.5,41.8,0.4,10450.0,10450.0,0.0,10418.65,10481.35
23.03.2026,10450,69,10429.1,10470.9,10450.0,0.3565,41.8,0.4,10444.0,10444.0,-6.0,10412.65,10475.35
24.03.2026,10450,36,10429.1,10470.9,10450.0,0.7889,41.8,0.4,10462.08,10462.08,12.08,10430.73,10493.43
25.03.2026,10450,26,10429.1,10470.9,10450.0,0.5,41.8,0.4,10450.0,10450.0,0.0,10418.65,10481.35
26.03.2026,10450,29,10429.1,10470.9,10450.0,0.5,41.8,0.4,10450.0,10450.0,0.0,10418.65,10481.35
27.03.2026,10250,28,10229.5,10270.5,10250.0,0.2,41.0,0.4,10237.7,10237.7,-12.3,10206.95,10268.45
30.03.2026,10350,51,10329.3,10370.7,10350.0,0.2137,41.4,0.4,10338.15,10338.15,-11.85,10307.1,10369.2
31.03.2026,10250,74,10229.5,10270.5,10250.0,0.2,41.0,0.4,10237.7,10237.7,-12.3,10206.95,10268.45
01.04.2026,10200,109,10179.6,10220.4,10200.0,0.3532,40.8,0.4,10194.01,10194.01,-5.99,10163.41,10224.61
02.04.2026,10250,78,10229.5,10270.5,10250.0,0.2103,41.0,0.4,10238.12,10238.12,-11.88,10207.37,10268.87
07.04.2026,10300,92,10279.4,10320.6,10300.0,0.6467,41.2,0.4,10306.05,10306.05,6.05,10275.15,10336.95
